反馈日期,客户问题,问题描述,客户名称,所属功能,端口,问题类型,处理进度,反馈进度,测试处理状态,Bug状态,测试备注,备注,附件,周
2026/06/07,老师，请问AP 商务样题有吗,AP题目,悠学辉,系统题目,老师,题目需求（s）,不处理,已反馈,,,,,,2026W23
2026/06/07,老师好 能帮忙查一下这个测试号码的成绩吗,入学模考查询,新航道,入学模考,销售,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/07,"老师，我想问一下:
第一个，学生端，学生有错题怎么订正
第二个，学生端，听力应该怎么精听

这两个有没有什么步骤能教我们一下的？我们想教给学生",错题布置,领课,布置作业页面,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/07,现在网页的边栏变成这样子了，找不到课表了,首页疑问,朗思教育,首页,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/07,我想确认下 非VIP和VIP的账号有什么区别啊 ,学生账号有疑问,天尚教育,学生账号,教务,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/07,这个需要您机构教务或者销售管理员账号的老师分配，我们这边只能帮老师申请查成绩,入学模考查询,新航道北京,入学模考,销售,查询需求（t）,,,,,,,,2026W23
2026/06/07,老师， 许壹朴， 做雅思测试的时候楼上好像装修声音很大，家长要求重新测口语和听力，重新测试完我看不到成绩，能否后台看看？,入学模考查询,新航道北京,入学模考,销售,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/07,老师们，我学生做写作的时候不知道按了哪个键成了这样了,答题问题,新航道北京,答题,学生,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/07,"学生：解淇然
辛苦老师帮忙看下",从描述看是学生网络问题,新航道北京,答题,学生,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/06,校校老师，我们托福的半套模考希望放全套的口语练习进去,入学模考配置,杭州壹橙,入学模考,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/06,hello想问一下 给学生布置雅思模考 从哪边进去呢？,如何布置作业,骐绩国际,布置作业页面,老师,功能操作疑问（s）,已处理,已反馈,,,,等客户回复,,2026W23
2026/06/06,你好 这个模考口语部分录完了但是提交不了是为啥呀,学生网络问题,择藤教育,答题,学生,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/06,hello，老师；我学生在做托福测试的时候，每次到这个地方就卡主了，口语第一题有声音，第二题就没有声音了,学生浏览器问题,新航道上海,答题,学生,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/06,老师，学生这种情况是什么原因呢,学生浏览器问题,新航道上海,答题,学生,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/06,校校 托福一小时测试 口语这块提交不了 请问怎么回事呀,学生网络问题,新航道上海,答题,学生,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/06,老师您好我找不到这个链接的测试结果,入学模考查询,新航道上海,入学模考,销售,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/06,您好，笔记本电脑也下载不了是因为什么呀,客户端如何下载,浙江澜大,客户端,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/06,老师，想咨询一下笑笑系统里的背单词学生可以用吗？好像确实里面打开什么也没有啊,如何给学生布置单词书,渊学通,单词书,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/06,老师你好，出现这个疑问，请问怎么回复学生比较好,布置作业问题,渊学通,布置作业页面,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/06,两位好，请问，咱们现在系统上的托福题目是按照新托福的样式给的，是把？是真题还是模考题目？,系统题目疑问,中鼎,系统题目,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/06,为啥进去是白屏,学生自己链接复制的不对,维他,答题,学生,使用问题（t）,不处理,已反馈,,,,,,2026W23
2026/06/06,听完了不让录哇，下一句也一样,反馈无法录音,秒懂,答题,学生,使用问题（t）,客户未回复,客户未回复,,,,,,2026W23
2026/06/06,请问这种题型可以在手机小程序上做吗？,小程序答题,秒懂,小程序,学生,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/06,答题解析就不是对应的第几句话,反馈答案和实际显示不一致（之前手机端又出现类似情况，待复现,秒懂,结果页,学生,使用问题（t）,未复现,已反馈,未复现,,,,,2026W23
2026/06/06,辛苦看一下,从录屏看是学生自身网络问题导致的,秒懂,答题,学生,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/06,如果布置的是强监管模式已经布置了，在老师端口哪里可以看到哪些任务是有强监管模式，如果不小心打钩了可以在哪去掉吗？还是只能重新布置呀,需求强监管模式，布置后能显示一个标志,寸心,作业管理页面,老师,功能需求和优化（s）,,,,,,,,2026W23
2026/06/06,请问这个我再系统评分之后为什么这个分数没有跟着改变呀？,单篇作文分数修改后，总分没有发生变化,美世教育,结果页,老师,使用问题（t）,不处理,已反馈,不处理,,如果修改了作业结果写作分数，再修改写作单题分数，总分不会改变,,,2026W23
2026/06/06,老师好，反馈一个情况：学生使用网页版做题，但答题录屏显示退出次数很多，学生说画高光和鼠标滑动时就会提醒正在离开页面，还有这种答题录屏中屏幕半屏操作。,从录屏看应该是学生在作弊,北京睿途,答题,学生,使用问题（t）,不处理,已反馈,,,,,,2026W23
2026/06/06,您好，能不能帮忙看一下这个阅读的做题时间为什么能这么长呢，正常一个模块应该是20分钟左右，这算出来都40多分钟了,这个是之前bug引起的,北京睿途,结果页,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/06,老师好，这里先进行留言哈。请问周一可以帮我安排这一套托福真题上线入学测试端口，命名为26新托福测试真题B卷。,入学模考配置,洒脱教育,入学模考,老师,入学模考配置（t）,,,,,,,,2026W23
2026/06/06,"出班测:
阅读:
Router:2026年2月真题第6套(0218)(0210)
Upper:2026年2月真题第4套
听力:
Router:2026年4月真题第5套
Upper:2026年4月真题第6套
写作:
2026年3月真题第6套
口语:
2026年3月真题第6套",入学模考配置,洒脱教育,入学模考,老师,入学模考配置（t）,,,,,,,,2026W23
2026/06/06,校校老师，请问雅思的听力练习，可以自己拉进度条的嘛？需要老师布置作业的时候设定为某种模式吗？,开放题库,东西方,开放题库,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/06,学生的vip账号 题库里为什么不能做新托福练习？,关联题库,图钉教育,课程管理,教务,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/06,平台上有PTE的题目吧,PTE题库,西点国际,课程管理,教务,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/06,你们谁是负责学术部分的 我的这个学生的口语和写作 你们介入一下 我要申请复议 我觉得太低了 家长很不满意 不是我调分的问题  ,反馈雅思分数不准确,西点国际,结果页,老师,Bug（t）,,,待处理,优化,,,,2026W23
2026/06/06,请问校校上可以布置小托福的题目，但是为什么题库里面找不到小托福对应的板块呀？,小托福能显示在题库界面,朗思教育,题库,老师,功能需求和优化（s）,,,,,,,,2026W23
2026/06/06,老师 再询问下如果下载客户端 开启强监管模式后 网页端可以同时在线吗？,强监管模式疑问,天尚教育,布置作业页面,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/06,glittering 不是listening ,雅思拼写,杭州青澜,系统题目,老师,题目数据问题（t）,已处理,已反馈,,,,,,2026W23
2026/06/06,这里没有a,新托福拼写,BESt学社,系统题目,老师,题目数据问题（t）,已处理,已反馈,,,,,,2026W23
2026/06/06,"老师，这套卷子的听力section 1 第9题题干给出了a.m. 但是答案是Thusday, 这个题干是不是有问题",雅思题目内容,Keystone,系统题目,老师,题目数据问题（t）,已处理,已反馈,,,,,,2026W23
2026/06/06,老师这个入学模考，在公池里查询，有没有什么前提呀,入学模考查询,琢思未来,入学模考,销售,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/06,这个做题时长是咋回事[破涕为笑],反馈题目计时不准确,乐普思,结果页,老师,使用问题（t）,,,技术-确认中,,,,,2026W23
2026/06/06,您好，打扰了，新托福口语 - 样题第2套的listen and repeat 题型的音频有问题，7句话音量大小不一，请问可以检查调整下么？总体上学生反应说listen and repeat的音量偏小,音频问题,超级学长,系统题目,老师,使用问题（t）,,,待处理,,,李璐确认,,2026W23
2026/06/06,请问这个专注模式是怎么回事呀 可以取消吗？,强监管模式,琢思未来,布置作业页面,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/06,老师们，问下录入新学生的时候，课时费这一块要怎么处理，比如1000/h的话，试听半价的话，要怎么在系统里体现？,订单问题,格橡树,订单,销售,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/06,我已经录入了学员，但是没办法在课表上给学员排课，只有建立了班级的学生才能排课,排课,格橡树,排课,教务,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/06,"这个界面下有了一个新的bug，有关作业题目的名字，请看录屏
布置作业窗口默认的作业标题好像是上一次选中的题目名字，而非目前选中的题目名字",布置作业题目名字不对,北外,布置作业页面,老师,Bug（t）,已处理,已反馈,处理完成,优化,,,,2026W23
2026/06/06,还有一个bug 首页的待办事项 待反馈课程刷新不出来最新的课程 需要进入其他界面然后再进入首页 才能看到全部待反馈课程 有点麻烦 能否也解决一下,首页待反馈课程不会实时刷新,北外,首页,老师,功能需求和优化（s）,,,,,,,,2026W23
2026/06/06,请问6月的sat题 大概啥时候能更新呀,SAT更新,盎睿博识,系统题目,老师,题目需求（s）,,,,,,,,2026W23
2026/06/06,老师 请问这个是国内机考的真题吗？,系统题目疑问,超级学长,系统题目,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/06,这个阅读的分数，我想问下如何计算的,新托福分数,新航道北京,系统题目,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/06,这个校区取消勾选就不能不显示 | 符号吗？,字段隐藏后会显示一个特殊字符,无名氏,课表&任务,教务,使用问题（t）,已处理,已反馈,,,,,,2026W23
2026/06/06,老师好，为啥这个作业学生登录不进去,客户端如何下载,思福领航,客户端,学生,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/06,老师，这个怎么才能退出，只能强制关机么？,实时作业白屏,思福领航,实时作业,学生,使用问题（t）,已处理,已反馈,,,,,,2026W23
2026/06/06,这个写作没办法正常进行呀,浏览器问题,思福领航,答题,学生,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/06,我们学生的账户，家长登录后，不小心把自己的手机给绑定到学生账号的小程序上了,小程序解绑,楹冠国际,小程序,学生,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/06,你好，学生在系统里做了模考，用了自己的号码，现在想把系统里的号码改成自己的，之前是写的家长的,修改学生手机号,朗思教育,学员管理,教务,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/06,请问这个为啥看不到题库啊,账号不是VIP账号,GE-Elite,学生账号,教务,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/06,我们现在 机构题库 冲刺第八套题目消失了,反馈题目看不到了,壹思唯,机构题库,老师,功能操作疑问（s）,客户未回复,客户未回复,,,,,,2026W23
2026/06/06,今天的SAT题目，啥时候出来呢,SAT题目,星禾领途,系统题目,老师,题目需求（s）,已处理,已反馈,,,,,,2026W23
2026/06/06,昨天说的那个单词限时，我怎么没看见,单词书限时设置,探月,单词书,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/06,谢谢老师，您帮我开放一下吧,开放题库,乐度国际,开放题库,老师,使用问题（t）,已处理,已反馈,,,,,,2026W23
2026/06/06,校校系统现在偶尔会出现学生做完题目 提交页面卡住闪退的情况 和网络无关得那种 最后作业情况会缺少 刷新的话会重置作业记录…看下怎么解决呀,学生网络问题,有鱼,答题,学生,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/06,老师 ，这个答题录屏次数是说明的什么情况呢,答题录屏疑问,新航道,答题录屏,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/06,请问学生做了测试但是找不到是怎么办呢  切换身份也没有,入学模考查询,新航道,入学模考,销售,查询需求（t）,已处理,已反馈,,,,,,2026W23
2026/06/06,老师们好　请问我看不到测试学生测试结果　怎么查询呢,入学模考查询,新航道,入学模考,销售,查询需求（t）,已处理,已反馈,,,,,,2026W23
2026/06/06,这个订单添加了又重新弄，还是无法计算课时,从截图看订单没有录入,立斯立行,订单,销售,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/06,"早上好。
从昨天开始，我这边系统里在电脑界面上就打不开这个音频和文本，一直处于加载状态。请问一下这是什么问题呀？",从描述看是网络问题,Capstone,答题,学生,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/06,"我们的问题是，
1. 换成电脑和google 浏览器是否能解决
2. 重新进去以后是否可以继续做题。",浏览器问题,维森教育,答题,学生,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/06,您好 学生使用苹果电脑进去显示这个页面 请问广州学校的网址输入哪个,客户端登录问题,新航道广州,客户端,学生,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/06,你好 我问一下 下载她会显示要输入学校网址 这个学校网址是什么,客户端登录问题,美诺教育,客户端,学生,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/06,老师们~自己上传题目可以设置口语题吗,机构题库录入,北京环球,机构题库,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/06,13916288303 @校校CSM-李璐 老师能帮忙看看这个手机号的入学测试吗，我这边账户找不测试结果,入学模考查询,独课,入学模考,销售,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/06,老师，我学生做托福的模考，只需要做阅读，后面不用做，就过完之后点提交。但是卡在听力，现在动不了了。你这边能给提交或者看一下什么问题吗https://learninghub.xhd.cn/org/tpo/tporesult.html?type=1&id=4482&stuid=1096629&teacherid=&xiaov=17798144591,反馈无法答题,新航道北京,答题,学生,功能操作疑问（s）,客户未回复,客户未回复,,,,,,2026W23
2026/06/06,请问老师这个学生在国外，填的国外的手机号为啥收不到验证码呀,通用验证码,有明教育,其他,老师,查询需求（t）,已处理,已反馈,,,,,,2026W23
2026/06/06,老师好，麻烦看一下这个学生的口语评分是怎么得出来的，TI四个题目分别是2，1，0，1 但系统给分3.5。谢谢,反馈分数不准确,新航道北京,结果页,老师,功能操作疑问（s）,处理中,,,,,李璐确认,,2026W23
2026/06/05,老师，辛苦您帮忙看一下，这个上传不上去，显示格式不对。这个是什么原因呢？该怎么调一下？或者老师，您能不能帮我上传几套试题呀？非常着急，我们测试。,机构题库复制（spring老师）,新航道,机构题库,老师,使用问题（t）,已处理,已反馈,处理完成,,,,,2026W23
2026/06/05,你们的app不行,客户端无法更新,亿希教育,客户端,学生,使用问题（t）,不处理,已反馈,待确认,,等回复,,,2026W23
2026/06/05,老师，这节课已请假，但是又出现在老师的课时里，能帮我看看是什么原因,课时问题,中山莱斯,课时,教务,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/05,是只能用电脑或者pad才可以背嘛,小程序登录问题,渊学通,小程序,学生,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/05,这个问题可以尽快修复不 不想解释了 ,这个问题老师自己没弄清楚，实际上是AI分析这里语境填词数量显示问题,秒懂,AI分析,老师,Bug（t）,,,待确认,,,,,2026W23
2026/06/05,辛苦看一下,浏览器问题,秒懂,答题,学生,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/05,老师，学生反馈单词批改有误,单词批改错误,新航道上海,基础训练-单词,学生,Bug（t）,,,待确认,,之前提过，等新批改规则上线后再看反馈,,,2026W23
2026/06/05,老师，错词有没有可能带上编号呢？单词书上好难找[捂脸],不合理的需求，应直接用错题本答题，不可能直接对照到纸质书的,探月,错题分析,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/05,"这一套的好多题电流声好明显
戴耳机有点听不清",已经和秒懂多次沟通过这套题的问题了,秒懂,系统题目,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/05,你好，给学生推送的单词任务，怎样操作学生可以练完之后还能看到自己的练习情况后面复习。,单词作业怎么复习,启亮,基础训练-单词,学生,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/05,麻烦再把sat 高级词汇 给一下,单词书导出,飞虎,单词书,老师,题目需求（s）,已处理,已反馈,,,,,,2026W23
2026/06/05,就是录错了没有通过审批 也得退费,近期领鹿一直在沟通课消问题，他们之前订单录的都不对,领鹿教育,订单,销售,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/05,老师这题 是不是少标点,新托福标点,维他,系统题目,老师,题目数据问题（t）,已处理,已反馈,,,,,,2026W23
2026/06/05,请问你们这个题库搜关键词能再调整灵活一点不？比如我只需要打字2512就能搜到202512整个题目,作业布置界面搜索问题,英廷,布置作业页面,老师,Bug（t）,,,,优化,题库搜索：单词输入不全时（前匹配）也要能搜出来（布置作业那里也是）,,,2026W23
2026/06/05,老师，我想问一下，这边我们要给学生转班，为什么金额为0无法转班？但是雅思督导转班却没有这个提示？,同样是余额0的班级，转班的时候一个会有提示一个没有,维森教育,班级,教务,使用问题（t）,不处理,已反馈,不处理,,学生如果在这个班级中有订单，订单需要有余额才可以转班。学生在这个班级中如果没有订单也可以直接转班,,,2026W23
2026/06/05,"老师,翻译的给分偏低呢",机构题库简答题批改规则,新航道上海,机构题库,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/05,需要包含听力+语言形式和含义+阅读 辛苦老师配置下,入学模考配置,美世教育,入学模考,老师,入学模考配置（t）,,,,,,,,2026W23
2026/06/05,老师，请问学生登录答题碰见这种情况是为什么呀~,从截图看应该是重复登录过了,新航道上海,答题,学生,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/05,"
1昨天助教已经花了2金币生成，今天再次打开后，内容又没了，只能当天生成当天查看吗？

2助教针对该学员的模考生成了AI点评，学生账号那边也看不到吗",结果页AI分析生成后，第二天就没有了,留学猫,AI分析,老师,使用问题（t）,不处理,已反馈,不处理,,技术反馈老师发的这个结果页没有生成过ai分析，https://sac.xiaosaas.com/org/IELTS/result.html?id=10501529&stubj=&qid=&stuid=246837&wrcd=1&xiaov=1779814459这个结果页昨天18点多生成过,,,2026W23
2026/06/05,您好，这个题干有点问题，请问能改正一下吗：What do you think are the causes of this problem?,雅思题目,渊学通,系统题目,老师,题目数据问题（t）,已处理,已反馈,,,,,,2026W23
2026/06/05,老师，入学模考测试，可否使用校校内部题库，直接选择组题，还是只能由我们自己录入题目？ ,入学模考配置,新航道重庆,入学模考,老师,入学模考配置（t）,,,,,,,,2026W23
2026/06/05,学生做测试，卡在这啦,从截图看是浏览器或者网络问题,环球北京,答题,学生,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/05,这套sat是哪一套试卷,题目来源,菁鹰,系统题目,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/05,麻烦建一套在线测试题，命名为 北工商2026年春季结课模考,入学模考配置,布谷龙途,入学模考,老师,入学模考配置（t）,,,,,,,,2026W23
2026/06/05,老师 能帮忙租一套雅思模考卷发我系统里面吗,入学模考配置,新航道济南,入学模考,老师,入学模考配置（t）,已处理,已反馈,,,,,,2026W23
2026/06/05,"选项的这个名字麻烦改成原文的这个名字, 选项的名字在原文都没有出现过",SAT题目,维他,系统题目,老师,题目数据问题（t）,已处理,已反馈,,,,,,2026W23
2026/06/05,老师您好 这套试卷按照格式进行了梳理 但是始终显示【第一题没有答案】，麻烦看下具体是什么问题吗？稍后给您发送下原文档；可以帮忙调整一下吗？谢谢,机构题库录题（格式不对）,硕果国际,机构题库,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/05,老师，为什么ai批改点击后，限时未启用呢,AI批改显示未启用,探月,AI批改,老师,Bug（t）,,,待处理,优化,机构没有过校币,,,2026W23
2026/06/05,登陆界面怎么打不开,无法登录,悠学,登录,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/05,请问入学测的，有没有自动变成强监管模式？如果我们用客户端进去的话,客户端相关问题,曼哈顿国际,客户端,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/05,系统账号已经给另一个学生了  请问如何找回原账号,学生账号数据问题,图钉教育,学生账号,教务,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/05,这个批改的正确率只有10%，可以让技术看下嘛,精听听译作业反馈评分过低,乐普思,AI批改,老师,使用问题（t）,已处理,已反馈,待确认,,点击了重新批改，目前正确率是70%。可以反馈老师再看下,,,2026W23
2026/06/05,你好有笔转课，我想先退费到余额，但是点错了，并且也审批过了,余额退费,朗思教育,余额充值,销售,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/05,每一个新建账号加入这个班级的学生都要在6.25之前完成这套测试,作业布置问题,渊学通,布置作业页面,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/05,https://edu.yimiaodong.com/org/tpo/tporesult.html?id=11944618&stubj=&qid=&stuid=268419&wrcd=1&xiaov=1779814459,学生网络问题,秒懂,答题,学生,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/05,李老师，问一下我们账户里面有校币，为啥批改不了,AI分析无法使用,诺亚,AI分析,老师,Bug（t）,已处理,已反馈,处理完成,P1,机构账户没有余额,,,2026W23
2026/06/05,老师，请问学生模考为什么一直反馈只支持客户端呀,客户端使用疑问,超级学长,客户端,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/05,各位老师，刚刚有个学生反应，这道GRE的题是不是有问题,GRE答案,向山,系统题目,老师,题目数据问题（t）,已处理,已反馈,,,,,,2026W23
2026/06/05,您好请问如何把sat的题库全部开放给学生呐？,开放题库,乐度国际,开放题库,老师,功能操作疑问（s）,已处理,已反馈,,,,先不要操作,,2026W23
2026/06/05,"老师们，我想请问下哈
我们给一个学生排课，排2期或以上的话，我们需要建立2个班级信息
但一旦建立2个班级信息，布置作业的时候很容易重复，因为作业不会显示哪部分套是做过的
但我们又不可能一个学生的课全部放在一个班级信息里，这个情况有办法解决吗？",作业布置记录能绑定下学生账号下（学生同时在多个班级的情况）,孚外教育,布置作业页面,老师,功能需求和优化（s）,,,,,,,d210fb6d8b8039d4ef94accb55da0c09.jpg,2026W23
2026/06/05,/,错词能按照某次作业/时间筛选和下发,探月,单词书,学生,功能需求和优化（s）,,,,,,,,2026W23
2026/06/05,这个作业能保存在系统上，我明年还能继续用吗？会不会这个作业学生完成后，就没有了，明年又要重新导入重新编？,自定义作业相关问题,青藤思语,自定义作业,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/05,老师  学生都结束模考了 怎么还在进行中呢,客户未回复,新航道,答题,学生,功能操作疑问（s）,客户未回复,客户未回复,,,,,,2026W23
2026/06/05,这是26年3月第1套，数学里涉及到指数表达，格式不太好辨认,SAT数学指数不明显,有明教育,系统题目,老师,使用问题（t）,,,待确认,,,李璐确认,,2026W23
2026/06/05,老师们好，这里先留言，请问我们雅思基础词汇无法布置了吗？,反馈单词书无法布置,洒脱教育,基础训练-单词,老师,使用问题（t）,不处理,,不处理,,在确认是否是后台将单元删除了,正在沟通,,2026W23
2026/06/05,"我们老师在使用校校时遇到了一个问题。口语部分比如listen and repeat，我们能通过“题库”看到题目，也能做题目，但是做完之后按要求按sumbit之后没有评分。不知道是没有这个功能，还是需要通过其他方式方法打开题目做？
我们看了之前的介绍视频，是有AI评分功能的，是不是一定要布置给学生作业或者模考了才能用上AI？老师做的题目不能评分吗？@校校Doreen @校校助理 ",老师端答题,合肥环球,布置作业页面,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/05,你好，请问下现在新托福听力的题目倒计时之后，会出现手动点击next的界面之后，才会到下一题,倒计时结束不会自动跳转,承读教育,答题,学生,功能操作疑问（s）,处理中,,,,,,,2026W23
2026/06/04,我们商讨了下，觉得这里应该是result from,新托福题目,上海蘑菇,系统题目,老师,题目数据问题（t）,,,,,,,,2026W23
2026/06/04,老师，这个还是不行，无法打字诶,反馈无法输入中文,新航道杭州,答题,学生,Bug（t）,已处理,已反馈,处理完成,优化,,,,2026W23
2026/06/04,/,录续费订单时支持批量创建多个订单,朗思教育,续费订单,销售,功能需求和优化（s）,,,,,,,,2026W23
2026/06/04,/,销售端录多个订单时要显示总金额和总优惠金额,朗思教育,订单,销售,功能需求和优化（s）,,,,,,,,2026W23
2026/06/04,/,财务端收支明细要显示具体学员的字段,朗思教育,财务数据,财务,功能需求和优化（s）,,,,,,,,2026W23
2026/06/04,老师这一步怎么弄呀,客户端如何登录,新航道,客户端,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/04,你好，这个课时是时间过了就扣课时，还是需要怎么操作一下的？,课时扣除规则,领鹿教育,课时,教务,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/04,老师，能辛苦把这套“2026年5月机考真题第1套(亚太A卷)/数学 ” 推送到入学模考里吗？@校校助理 ,入学模考配置,新航道济南,入学模考,老师,入学模考配置（t）,,,,,,,,2026W23
2026/06/04,"还有新托福的四个单科也需要推送到入学测试中。命名分别为：
4R个性化-托福阅读入学测试
4R个性化-托福听力入学测试
4R个性化-托福写作入学测试
4R个性化-托福口语入学测试",入学模考配置,新航道济南,入学模考,老师,入学模考配置（t）,,,,,,,,2026W23
2026/06/04,学生说客户端会出现这样的问题,MAC电脑会遮挡SAT倒计时,承读教育,客户端,学生,Bug（t）,已处理,已反馈,处理完成,优化,,,,2026W23
2026/06/04,老师，这个要怎么回复比较好丫？,学生要重新做一遍作业,新航道武汉,答题,学生,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/04,这个是客户端？,客户端相关疑问,南京七嘉,客户端,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/04,这个系统可以手机小程序登录，比如背单词，练听力吗？,小程序使用疑问,格橡树,小程序,学生,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/04,https://edu.yimiaodong.com/org/tpo/tporesult.html?id=11932820&stubj=&qid=&stuid=274714&wrcd=1&xiaov=1779814459 辛苦看一下,IP浏览器都正确，网速没有提示过慢，音频无法加载,秒懂,答题,学生,使用问题（t）,客户未回复,已反馈,待确认,,远程看下，没有复现,,,2026W23
2026/06/04,您好 上次培训提到入学模考时可以开启“强监管模式” 但学生反馈会提示要下载客户端 是网站上不能开启这个模式吗？,客户端相关疑问,北外,客户端,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/04,您好请问 sat 的题目也都能开放一下不,开放题库,中鼎,开放题库,老师,使用问题（t）,已处理,已反馈,处理完成,,,,,2026W23
2026/06/04,你好，新托福学生的成绩120分制，107+对应5.5分，这上面显示104就对应5.5，不知道是什么原因？,新托福分数计算不对,枫学雅思,结果页,老师,Bug（t）,,,处理中,优化,新托福总分如果不在cerf内，就需要根据总分换算cerf分数,,,2026W23
2026/06/04,你好我想问一下这个模版倒入的数据 我根据表格填写的渠道来源 传上去之后就没有显示,公池模板上传,格橡树,公池,销售,使用问题（t）,不处理,已反馈,不处理,,,,,2026W23
2026/06/04,老师，这套KET听力题目的电子版有吗？,KET PDF,凯利留学,系统题目,老师,题目需求（s）,已处理,已反馈,,,,,,2026W23
2026/06/04,老师，学生问这是啥意思,客户端相关疑问,新航道郑州,客户端,学生,功能操作疑问（s）,已处理,已反馈,,,,,,2026W23
2026/06/04,你好，学生通过共享账号完成模考，提交之后我这边看不见答题情况这是怎么回事？,反馈学生提交作业显示未完成,美世教育,答题,学生,使用问题（t）,不处理,已反馈,待确认,,等老师反馈后续,,,2026W23
