audience,port,type,question,desc,answer,attachment,bucket,categories
academic,教务,使用问题,老师，我们顾问加了一个“教务”权限后，入学模考测试的数据查不到了，是被隐藏了吗？,员工加了一个教务权限后，销售身份下入学模考看不到,没有入学模考查看的权限,cbc2e750d8d78e369b15d59d1cb1fab.jpg,kb_candidate,"['权限/角色/公池', '题库/录题/单词书/模考']"
teacher,老师,操作疑问,老师们好，请问基础端学员的作业练习材料如 黑眼睛 / Grammar in Use 这些在校校系统里好像没有看到，那是否需要开通账号呢？还是等进入正课后再开？,系统没有作业练习材料如 黑眼睛 / Grammar in Use ，学生是否需要开通账号,材料可以上传到自有题库使用，如果学生要做作业和上课的话就是需要开通账号的,,kb_candidate,"['账号登录/密码/手机号', '作业/布置/批改/反馈', '题库/录题/单词书/模考']"
academic,教务,使用问题,有一个疑问，学生的小程序里显示的课时消耗跟我们系统里对不上，这个是什么原因造成的呢？,排课页面的已上课时和学生小程序剩余课时对不上,学生入班前的课消没有计算，可以在考勤页面修改为已出勤，自动计算课消,"1fc5f662e39b77da6aaa9c6a3b36d76.png,a73163fb5f14fa5f16fb84aa6fde48c.jpg",kb_candidate,"['班级/排课/课时/考勤', '小程序/公众号/二维码']"
teacher,老师,使用问题,早上好，这份题目在上个月我们给学校的学员批量测过，就是申请通用验证码，这样后台可以看到的，但是现在学员自己用手机申请验证码，后台反而看不到了，推荐人都选了UIE，校长这边说也看不到数据。,查找不到学生的入学模考,学生做过的入学模考都在的，这个学生没有负责销售,"9e3ddac2139dd8a367e65dfc45dfba7.jpg,d10bed465880f235d82a4178bf3ad0a.jpg",kb_candidate,"['权限/角色/公池', '题库/录题/单词书/模考']"
teacher,老师,操作疑问,你好，xiaoxiao系统我和前东家绑定了，请问如何解绑～,如何解绑公众号,老师取消关注公众号之后重新扫新的码就可以了，小程序需要重新扫码,,kb_candidate,['小程序/公众号/二维码']
teacher,老师,操作疑问,如何关掉口语写作自动改分功能,如何关掉口语写作自动批改功能,校长/教务可以在设置教学相关中关闭口语写作智能批改，布置作业时选择关闭,,kb_candidate,['作业/布置/批改/反馈']
teacher,老师,操作疑问,学生的单词作业能不能也有预览功能呀，因为学生希望背完单词之后可以整个复习，不用一个个点开单词那么麻烦,学生的单词作业能不能也有预览功能，学生希望背完单词之后可以整个复习,可以下发单词书给学生，学生可以直接查看每一单元的单词,,kb_candidate,"['作业/布置/批改/反馈', '题库/录题/单词书/模考']"
teacher,老师,操作疑问,校校老师，你好，请问以上自有题库是怎么录入的？,自有题库如何录成单独的题目,单独分开需要把题目分开录入成简答题,f23540659f747af55802c12b9001965.png,kb_candidate,['题库/录题/单词书/模考']
teacher,老师,操作疑问,你好，当前能否设置对学生开放题库功能？ 或者错题能否再做一遍？,能否对学生开放题库功能？ 或者错题能否再做一遍,学员管理里的“练习统计”，错题支持二次下发的学生端也可以自行选择错题二次练习,,kb_candidate,['题库/录题/单词书/模考']
student,学生,使用问题,麻烦解决下,学生入学模考答题跳过了阅读和听力,如果学生之前做过，同一个手机号再次进入，会从之前退出的部分继续做 一个手机号同一套题，只能做一次，可以让学生换个手机号吗,"cf45783e7caa0d5a7faee536e45fb25.jpg,bce085bbcff5b88c5e957a12ed3aed4.jpg",kb_candidate,"['账号登录/密码/手机号', '音频/录音/听力', '题库/录题/单词书/模考']"
academic,教务,操作疑问,请问口语写作现在自动批改怎么关闭哈？谢谢！,口语写作自动批改如何总体关闭,校长或者教务端在系统设置里，教学相关，有两个口语和写作的智能批改开关,,kb_candidate,['作业/布置/批改/反馈']
teacher,老师,操作疑问,你好，我们想把作业设置的时间提前，同时修改作业名称，怎么操作啊,如何修改作业名称和时间,班级，作业概览可以修改,,kb_candidate,"['作业/布置/批改/反馈', '班级/排课/课时/考勤']"
sales,销售,操作疑问,请问这个测试的推荐人是由谁来添加呀那学生在没选推荐人的情况下写完了测试，哪里能看到测试结果呢,入学测试的推荐人如何添加,推荐人是有销售身份的员工。需要校长，管理员，有员工管理权限的教务可以添加，校长和销售管理员可以在公池查看,,kb_candidate,"['权限/角色/公池', '题库/录题/单词书/模考']"
sales,销售,操作疑问,你好，我想问一下，销售管理是否可以把特定某个销售的跟进中的资源导出来嘛我看导出来的表没有跟进中,如何导出特定某个销售的跟进中的资源,导出的时候，需要选择到对应的录入时间再筛选,,kb_candidate,[]
teacher,老师,使用问题,您好，老师，请问系统内的14题版的练习，已经全部撤销，变成10题新版的了吗？这边布置下来，作答页面依旧是10题呢,布置旧版的托福还是10题版本,作业设置这里不要勾选布置为新题型,d7aba81beae7dfe3afee5d416965cc5.png,kb_candidate,['作业/布置/批改/反馈']
student,学生,使用问题,这个问题已经出现过几次，麻烦看看是什么原因，请查证。,雅思测试，学生拖动不了选项,可以点击选项面板，可以固定选项再拖动,b57149ae4c4ae9d3a33f56f9dafb8045.mp4,kb_candidate,[]
teacher,老师,操作疑问,你好 我想问一下 如果我想查今天有哪些学生完成了模考题目 应该从哪里查呀？,如何查看有哪些学生做了模考,同一个班级，老师可以直接在班级查看,,kb_candidate,"['班级/排课/课时/考勤', '题库/录题/单词书/模考']"
sales,销售,操作疑问,销售这边的课时数为什么不能填了,部分课程销售端报课时，不能填总课时数,定制课且设置了上课内容的，填写不了总课时，填写上课内容自动计算,968260802a1915d734ff1b4369563b9.png,kb_candidate,"['班级/排课/课时/考勤', '订单/合同/报课/收费']"
teacher,老师,操作疑问,我们大概整明白了 就是不知道阅读的文本 和题目说明放在哪里，还有一个问题 就是左右结构怎么弄，推送到入学模考之后 在哪里能找到呀,自有题库录入材料录入和推送到入学模考,帮助中心有操作文档，推送到入学模考显示在能力测试页面,image.png,kb_candidate,['题库/录题/单词书/模考']
teacher,老师,操作疑问,单词书里面的错词，可以二次布置推送给学生吗？,单词书的错词如何下发给学生复习,单词书的错词目前只能学生手动点击错词本练习,,kb_candidate,"['作业/布置/批改/反馈', '题库/录题/单词书/模考']"
sales,销售,使用问题,您好，请问您这边是否可以搜索到朱旺豪同学的入学模考呢？学生手机号15316386189,查找不到学生的入学模考,公池里都是有的，这个学生有三个不同的号码，销售管理员和校长可以在公池查看全部的，每个号码对应的负责销售只能看到对应的线索，看不到其他的,,kb_candidate,"['账号登录/密码/手机号', '权限/角色/公池', '题库/录题/单词书/模考']"
teacher,老师,操作疑问,校校，你好，我想问问自有题库那里录入口语、写作题，能设置限时完成吗？,布置题目能否限时完成,布置的时候可以限制,,kb_candidate,"['作业/布置/批改/反馈', '题库/录题/单词书/模考']"
teacher,老师,使用问题,你好，我有个问题想咨询。就是我系统布置SAT机考，我看一般是2个模块的考试,如何设置sat机考模块,真实考试是2个模块。系统布置考试时，需要手动组卷，看第二个板块是easier还是harder,,kb_candidate,['作业/布置/批改/反馈']
sales,销售,操作疑问,你好，新生报名财务审核完后，销售端现在不能在公池操作学员转正，界面都变了，请问是咋回事。账号19180463847,销售端现在不能在公池操作学员转正,需要在员工管理看下有无潜客转正的权限,,kb_candidate,"['账号登录/密码/手机号', '权限/角色/公池']"
teacher,老师,操作疑问,你好 怎么让之前在一个班级的同学给单独分出来变为一对一呢,如何让之前在一个班级的同学给单独分出来变为一对一,创建一个一对一的班级，然后把学生从原班级转班转到这个一对一的班级,ef49828ac585a9d468ffdd90cfa809e.png,kb_candidate,['班级/排课/课时/考勤']
teacher,老师,操作疑问,咱们系统能加A-level词汇吗？上传的单词如果出现错误可以在线修改吗？,如何上传和修改单词,在单词书界面， 如果有A-level词汇就可以在这里新增词表。上传成功后，如果需要修改单词，需要点击详情，进行单词的修改,image.png,kb_candidate,['题库/录题/单词书/模考']
teacher,老师,使用问题,有没有什么方式 能够让学生每天打卡50个单词,如何连续让学生打卡单词,在单词书里给学生布置抽查单词作业,,kb_candidate,"['作业/布置/批改/反馈', '题库/录题/单词书/模考']"
teacher,老师,使用问题,手机端看不到老师的评分和评语,手机查看模考报告没有老师评语和评分,开启了成绩审核发布,,kb_candidate,"['权限/角色/公池', '题库/录题/单词书/模考']"
academic,教务,操作疑问,你好，请问怎么查看学生的VIP是否过期呢,如何查看学生账号vip期限,教务端的学员里，会显示账号到期时间,,kb_candidate,['账号登录/密码/手机号']
teacher,老师,使用问题,您好 反馈一下 上午用系统的时间 好几次闪退到登录页面是什么情况呢,登录后页面闪退到登录界面,建议使用谷歌，客户用的360浏览器,,kb_candidate,"['账号登录/密码/手机号', '作业/布置/批改/反馈', '浏览器/网络/缓存']"
teacher,老师,使用问题,请问一下导入单词书，excel这边计数是400多个词，但系统显示单词是301个，这是什么问题呢？,导入单词书显示内容不全,每个单元最多300个单词，客户上传 了400多个，建议分单元,,kb_candidate,['题库/录题/单词书/模考']
teacher,老师,使用问题,老师们好，辛苦您们这边帮忙查看一下，为什么孩子说写作部分已经完成答题，但是提交之后依旧未见内容。,学生反馈已完成写作，但是结果页没有数据,技术反馈没有答题数据，录屏显示未作答,,kb_candidate,['作业/布置/批改/反馈']
academic,教务,操作疑问,请问下，账号怎么做延期呀？,账号怎么做延期,校长/教务在学员管理点击续期,9dc1d0d5d210b3dff2b0bbc36e0ca79.png,kb_candidate,['账号登录/密码/手机号']
sales,销售,使用问题,麻烦查下朱旺豪同学的模考。15316386189 这是同学模考的手机号，我没有搜索到,需要查找学生入学模考,公池里有的，管理员或校长可以查看,,kb_candidate,"['账号登录/密码/手机号', '权限/角色/公池', '题库/录题/单词书/模考']"
student,学生,使用问题,你好，学生做阅读练习时显示一直转圈圈，昨天有两题学生写对了答案，但结果页显示她填成了别的选项，所以错误了,学生的答案和结果页显示答案不对应,答题录屏显示学生选择的答案和结果页是对应的,,kb_candidate,[]
teacher,老师,使用问题,"老师请问下,孩子看不到作业是什么原因哇?",学生看不到作业,学生登录的系统和老师不是同一个,,kb_candidate,"['账号登录/密码/手机号', '作业/布置/批改/反馈', '权限/角色/公池']"
teacher,老师,使用问题,你好，我想问一下系统里基础练习-机构题库-sixway阅读这一部份布置之后打开来选择题没法选择，用chrome浏览器也是这样，这个是有什么问题吗？还是我操作上哪里有误呀，辛苦看一下～,机构题库选择题没有办法作答,需要录入题目的老师修改下，选项录入到题干里了,a579cf703ba5ef8b00ddf9c8900bda3e_.jpg,kb_candidate,"['作业/布置/批改/反馈', '浏览器/网络/缓存', '题库/录题/单词书/模考']"
teacher,老师,操作疑问,老师，我想问问如果想把某个作业大纲的所有练习都设置“不显示答案”要怎么操作呢？是否可以把作业大纲的练习全部设置完不显示答案后再布置给具体班级？,如何操作作业大纲布置的作业，结果页不显示答案,需要在添加每个任务时设置不显示答案,,kb_candidate,"['作业/布置/批改/反馈', '班级/排课/课时/考勤']"
teacher,老师,操作疑问,老师好，我刚登陆发现题库里没有PTE，不知道咋回事啊？,如何查看pte题库,需要先创建pte课程关联题库，再创建pte班级可以查看,,kb_candidate,"['班级/排课/课时/考勤', '题库/录题/单词书/模考']"
teacher,老师,使用问题,李老师您好，请问为什么后台配置了考试，再从学生端登录后什么都没有呢,老师测试潜客答题，出现结果页,老师登陆了老师端，又登了学生端。身份有重叠,,kb_candidate,"['账号登录/密码/手机号', '权限/角色/公池']"
teacher,老师,操作疑问,老师，我们后台的雅思核心词汇，和托福核心词汇，雅思听力词汇这些我在哪能够看到完整版的单词目录呢,如何查看系统单词的详细单词目录,在布置作业里，点击预览也可以看到详细单词列表,image.png,kb_candidate,"['作业/布置/批改/反馈', '音频/录音/听力']"
teacher,老师,使用问题,学生说阅读的上下干嘛都可以，就是填单词手写也可以，就是阅读的选择就是不行，您能不能问下你们团队其他人，今天有没有遇到这个问题呀？,学生反馈做题卡顿，点击不了选项,建议使用Safari浏览器，某些题目是拖动的，不是点击的,b9c8ab96a13bf8ceb0bf6d3c376864e.jpg,kb_candidate,"['作业/布置/批改/反馈', '浏览器/网络/缓存']"
teacher,老师,使用问题,老师您好，我们现在排课老师排好的课程，在老师的课表上不体现是什么原因呢？,教务排课了，但老师端口没有信息,教务排课排在总校区的网址，老师登陆的是北京校区的系统,,kb_candidate,['班级/排课/课时/考勤']
teacher,老师,使用问题,您好，请问学生账号过期登录不上的话，您们那边可以帮忙操作延期的吗？,学生账号过期登录不上，需要帮忙操作延期,校长管理员/教务端学员里找到学生，点击续期就可以,,kb_candidate,['账号登录/密码/手机号']
sales,销售,使用问题,您好，我这边有个学生做完测试，显示没有成绩，麻烦帮忙查一下,查不到学生入学模考,学生使用的另一个号码,"82d998aa91675a32007de75db1c9bf0.png,7dbac88d8c4f4a7eb30964bb54d87d5.png",kb_candidate,['题库/录题/单词书/模考']
teacher,老师,使用问题,上完了课，首页没有待反馈,上完了课，首页没有待反馈课程,因为学生入班时间晚于上课时间，所以首页待反馈没有显示，可以在班级管理或者学员管理填写反馈,,kb_candidate,"['作业/布置/批改/反馈', '班级/排课/课时/考勤']"
principal,校长,操作疑问,各位老师们，我想问下 就是校长的系统里学员管理怎么把反复在多个班的学生合并掉啊。。只看有哪几个学员，就像我有一个学员她在3个班待过就有三条信息,如何筛选在读学员数量,在校长端公池里筛选出所有正式学员,,kb_candidate,['权限/角色/公池']
principal,校长,操作疑问,想要一个开通年度vip步骤pdf,如何给学生开通vip账号,开通年度vip教务/校长可以在直接添加学生时选择，或者在公池给学生转正时选择,,kb_candidate,"['账号登录/密码/手机号', '权限/角色/公池']"
sales,销售,操作疑问,这个签约日期可以修改吗？潜客列表当中已经转化为正式学员的，没有地方可以选择筛选不看已签约客户吗？,学生报名日期如何修改，潜客列表可以不显示“正式学员吗”,报名日期可以在订单页面修改，潜客列表可以筛选跟进进度,"5ea4eb9f4ed20352c0fc860330460ab.png,051fda13e35ec0d8e301829fdb30d0f.png",kb_candidate,['订单/合同/报课/收费']
teacher,老师,操作疑问,这个不能像TPO一样有固定的默认时长吗，一定要每次手动设置吗？,自有题库布置作业，每次都需要重新选择时间,自有题库目前没有答题时长设置，推送到入学模考只需要设置一次，布置作业可以选择再次布置或者收藏到常用作业,,kb_candidate,"['作业/布置/批改/反馈', '题库/录题/单词书/模考']"
academic,教务,操作疑问,请问Nancy的账号下，学员找到了，但是模考成绩这里似乎没有。是只有校长账号下才能看，还是我没找对地方呢？,教务如何查看学生入学模考成绩,用销售管理员或者校长的账号在公池中可以查看学生的入学模考,,kb_candidate,"['账号登录/密码/手机号', '权限/角色/公池', '题库/录题/单词书/模考']"
teacher,老师,使用问题,您好，我是学而思国际的老师，现在我们需要用校校录题，但是之前交接的账号不知道怎么失效了，能给我们一个新的账号不,老师需要录题，之前的老师账号失效了，需要新的账号,可以用校长或者教务账号自己创建老师账号录题,,kb_candidate,"['账号登录/密码/手机号', '题库/录题/单词书/模考']"
teacher,老师,使用问题,请问这个怎么处理？我试了好多办法，你们系统就是识别不了,自有题库录题，复制的内容预览识别不到选项,特殊符号[]使系统识别错误,70a4a85038ceb7b84a9a381fa5d408c.png,kb_candidate,['题库/录题/单词书/模考']
principal,校长,使用问题,请问一下，学生做完了测试，但是我这边后台看不到怎么办,学生做完了入学模考，公池看不到,学生名字不对应，可以通过入学模考查询,"fc0ae0b8b3517a7a1f5e9fc17e5dd09.png,8e299c769654a0d0c999a6e441592b3.jpg",kb_candidate,"['权限/角色/公池', '题库/录题/单词书/模考']"
teacher,老师,操作疑问,老师好，老师端口手机小程序该怎么布置作业呢,小程序端口如何布置作业,小程序端口能布置自定义\打卡\常用作业，无法布置题库作业,,kb_candidate,"['作业/布置/批改/反馈', '题库/录题/单词书/模考', '小程序/公众号/二维码']"
teacher,老师,操作疑问,请问如何导出学生的作业和单词统计数据呢？,如何导出学生的作业和单词统计数据,单个学生的作业情况可以通过生成二维码查看。所有学生的作业数据只能在线看，无法导出,,kb_candidate,"['作业/布置/批改/反馈', '小程序/公众号/二维码']"
teacher,老师,操作疑问,老师们，我想问下，怎么把题库里面的题放到模考测试系统里面给学生做？比如SAT6月的题，我们想发给学生做模考用,如何把题库里的题下发给学生做模考练习,通过布置作业的形式下发给学生,,kb_candidate,"['作业/布置/批改/反馈', '题库/录题/单词书/模考']"
teacher,老师,使用问题,这个是什么意思？加入我要布置100-200的单词范围，只选择其中60个让学生抽测,布置单词作业时提示超出题库范围,选择单词数开始的数量不对，应该为第1—30个,c0d5a3385b3fe2bef9dbebd394605ec.png,kb_candidate,"['作业/布置/批改/反馈', '题库/录题/单词书/模考']"
teacher,老师,操作疑问,请问上传试题然后设置为测试给学生那边做测试要怎么操作呢？,自有题库推送到入学模考如何给学生测试,和其他入学模考流程一样,,kb_candidate,['题库/录题/单词书/模考']
student,学生,使用问题,请问老师这个怎么解决～,学生反馈错题只能看题干没有全文,学生结果页和错题库都是可以看到文章的,,kb_candidate,"['作业/布置/批改/反馈', '题库/录题/单词书/模考']"
teacher,老师,使用问题,为什么点击不了啊,班级布置作业页面点不了题库,班级没有关联课程,e86597b937c2e292b61339c6a5e59fb.png,kb_candidate,"['作业/布置/批改/反馈', '班级/排课/课时/考勤', '题库/录题/单词书/模考']"
student,学生,使用问题,孩子入学模考无法提交，麻烦看下是什么问题,学生反馈入学模考口语部分提交不了,学生用的微信浏览器,,kb_candidate,"['作业/布置/批改/反馈', '浏览器/网络/缓存', '题库/录题/单词书/模考']"
teacher,老师,操作疑问,老师 ，我们系统里我看是有pte的科目的，但是我没找到题,如何布置pte科目题目,创建PTE课程，关联题库，创建班级,,kb_candidate,"['作业/布置/批改/反馈', '班级/排课/课时/考勤', '题库/录题/单词书/模考']"
teacher,老师,操作疑问,老师们，我们自己的题库，新进录了一些题。但是题目顺序需要调整，你们后台可以帮忙调整顺序吗？ 或者你们近期可否上线这个功能,自有题库如何调整题目顺序,可以直接拖动题号调整的,,kb_candidate,['题库/录题/单词书/模考']
teacher,老师,使用问题,老师好，现在班课的账号也要全部设置为vip账号吗我想布置一对多班级的作业,班课的学生布置作业也需要是VIP账号吗,题库作业都是需要vip账号才能做的，和班级无关,,kb_candidate,"['账号登录/密码/手机号', '作业/布置/批改/反馈', '班级/排课/课时/考勤', '题库/录题/单词书/模考']"
sales,销售,操作疑问,跟进进度这里可以加别的关键词吗？,潜客跟进进度可以自定义关键词吗,跟进进度是固定的，没法调整，但每条学员线索支持打标签，标签可以在系统里提前自定义设置,727de4abf9bef527e2a32e62474f345.png,kb_candidate,[]
student,学生,使用问题,学生反应，题库里面的题目，比如较久远的剑桥4，还有海外版的，音频声音太小，另外题目有的点不了,学生答题，题目没有显示,学生用的IE浏览器,140ba75fc79baf1c7f9ebfde39be9f61.mp4,kb_candidate,"['音频/录音/听力', '浏览器/网络/缓存', '题库/录题/单词书/模考']"
sales,销售,操作疑问,咱们录入的是30000，60小时，但是学生最后减少课时，减少到38小时，这里可以重新处理吗？ 重新录入费用是7月的这样核对下来，费用方面就会出现不一样了,订单可以修改吗？如果修改之前的月份费用就对不上,订单可以取消宠物宠物的订单可以选择修改录入的时间和交费时间,,kb_candidate,"['班级/排课/课时/考勤', '订单/合同/报课/收费']"
teacher,老师,操作疑问,你好，我在自己的账户里面新建了常用作业，如何分享给机构里的其他老师？,如何把作业分享给其他老师布置,助教点击作业管理 选择再次布置 布置给别的班级,,kb_candidate,"['作业/布置/批改/反馈', '班级/排课/课时/考勤']"
student,学生,使用问题,单词作业测评发音一直卡住,单词作业发音测试卡住,未使用safari浏览器,,kb_candidate,"['作业/布置/批改/反馈', '浏览器/网络/缓存']"
teacher,老师,操作疑问,你好，我问一下就是笑笑里面托福的真题训练是可以限时的是吧？因为我们没有给学生限时过，所以再确认一下。,托福的真题训练如何限时,题型训练可以设置倒计时，模考测试可以设置倒计时结束后禁止答题,,kb_candidate,['题库/录题/单词书/模考']
teacher,老师,操作疑问,求助：请问老师们如何在校校工作系统安排布置词汇打卡任务呢，谢谢~,如何在校校工作系统安排布置词汇打卡任务,已发送帮助中心链接,,kb_candidate,['作业/布置/批改/反馈']
sales,市场,操作疑问,老师，请问我们老师怎么没有绑定小程序的地方啊 他是市场权限,市场端没有小程序，如何用小程序操作录入资源,可以开一个销售权限,,kb_candidate,"['权限/角色/公池', '小程序/公众号/二维码']"
student,学生,使用问题,还有个问题 学生词汇测试 选项基本就三个,学生听音选择选项有空的,单词书的词表里有些单词的中文解释是没有的，所以听音选择里选项抓取到了空的,5659da81b4396b870f31451b66080bb.jpg,kb_candidate,['题库/录题/单词书/模考']
teacher,老师,使用问题,老师好 请问能加一个音译英吗,单词测试可以加一个音译英的测试形式吗,单词听写就是音译英的模式,0932ae906a58d0aaf00b999fc49bdc6.png,kb_candidate,[]
student,学生,使用问题,请教老师，今天模考，网卡退出去，退出去再进去，说next点不了,学生答题点不了下一题,学生未使用谷歌浏览器,,kb_candidate,"['浏览器/网络/缓存', '题库/录题/单词书/模考']"
teacher,老师,操作疑问,老师好，我想问一下校校自己录的题目可以更改题目顺序吗？,自有题库的题目如何可以更改题目顺序,在自有题库页面，可以拖动调整题号顺序,,kb_candidate,['题库/录题/单词书/模考']
academic,教务,操作疑问,请问一下老师预站请假时间怎么操作呢,老师预占和请假如何操作？,教务可以再申请里发起预占和请假,,kb_candidate,[]
teacher,老师,操作疑问,这个作业布置完之后能不能设置下改个名字？,已布置的作业如何修改名称？,作业名称可以在概览修改布置给其他班级，或者再次布置的时候也可以修改,,kb_candidate,"['作业/布置/批改/反馈', '班级/排课/课时/考勤']"
academic,教务,操作疑问,您好，系统上的上课时间只能到当天的23：55分，我们现在有一个英国的学生，和我们的时差是7个小时，他在英国上课时间是下午16:30-18:30，是我们的当天晚上的23:30-第二天的凌晨1:30，我们排课要分开两天的时间，想问一下我们一直在23:25那个时间段上课持续上课可以么？还是要中间退出在进入第二天凌晨00:00-1:30的时间段？,学生上课时间跨天了，需要中间退出在重新进吗,如果是线上课的话，设置了结束时间 例如设置11点结束 那么11点之后就无法进入课堂了。 之前已经进入课堂的人，讲课到12点 或者之后也可以的,,kb_candidate,['班级/排课/课时/考勤']
student,学生,使用问题,我们学生测试有点问题肖老师可以这里问一下,学生无法点击交卷,学生未使用谷歌chrome浏览器,522da601c1cd94bd893be9ee79a963b3.mp4,kb_candidate,['浏览器/网络/缓存']
student,学生,使用问题,我的这个摸考还是有问题啊答不了题重新登陆了好多遍,学生答题听完听力之后，不能答题,学生没有用谷歌的浏览器,,kb_candidate,"['音频/录音/听力', '浏览器/网络/缓存']"
teacher,老师,使用问题,请问这个题目我怎么布置给学生呀？我在布置作业里没找到，辛苦尽快解答一下，谢谢！,老师布置gre作业的时候，没有模考测试,课程没有关联题库,,kb_candidate,"['作业/布置/批改/反馈', '题库/录题/单词书/模考']"
teacher,老师,操作疑问,老师，校校后台有回访记录功能吗,如何添加回访记录,可以在学员管理可以添加,,kb_candidate,[]
teacher,老师,使用问题,奇怪就是这里下载第,单词书上传单词显示格式有误,"unit37,38这两个表是没有数据的",ebd1fb448ee715c6fa20f489c9222d5.png,kb_candidate,['题库/录题/单词书/模考']
student,学生,操作疑问,学生反映数学题经常没有办法提交，会卡在当前页面。烦请查看一下,学生ipad做sat，没有下一题按钮,因为部分ipad屏幕会有兼容问题，可以让学生试下将答题页面放大再下拉屏幕，就可以看到next按钮,0996b67fe432d365b67a53c10e64dca.jpg,kb_candidate,[]
teacher,老师,操作疑问,请问从这个端口布置的学生形式是什么 1. 比如一个词库2000个词，如果没有分单元学生是不是要一次背2000个 2. 老师从这个形式上怎么验收,单词书布置学生的学习形式以及老师如何验收,单词书上传每个单元单词数量上限是300个，可以布置也可以抽查，检查学生的掌握程度，也可以通过详情看到学生背单词的正确率以及背诵进度,,kb_candidate,"['作业/布置/批改/反馈', '题库/录题/单词书/模考']"
teacher,老师,使用问题,这是怎么回事儿,老师上传单词书显示出错,词表没有表头，格式不对，单词书这里有模板和要求,"校校-阅读真题词汇.xlsx,41de0ee7a008da73c97b49bdf8729cf.png",kb_candidate,['题库/录题/单词书/模考']
teacher,老师,操作疑问,校校你好，请问我们有小托福的系统套题吗？在哪里呢？ 请问怎么建立呀，可以教我一下嘛,小托福题库如何查看,如果没有小托福的课程，需要先创建小托福课程，课程关联小托福题库，再创建小托福班级,,kb_candidate,"['班级/排课/课时/考勤', '题库/录题/单词书/模考']"
teacher,老师,使用问题,早晨，这个作业学生端没出现，麻烦看看什么情况,学生看不到作业,老师只布置给了班级里另一个学生，没有选择布置给这个学生,0a1cfd8cd16b61adedd43f7acc4d890.png,kb_candidate,"['作业/布置/批改/反馈', '班级/排课/课时/考勤', '权限/角色/公池']"
teacher,老师,使用问题,AI批改没有分数，只有润色文章,AI批改没有分数，只有润色文章数据,开启了成绩审核发布，需要老师手动发布成绩,,kb_candidate,['作业/布置/批改/反馈']
student,学生,使用问题,请问 单词在测试前的学习阶段，学生反馈 学习到一半，单词卡在了录音的那个界面（录音倒计时5秒，就卡在了第五秒那）跳不到下一个单词，导致学习没法继续，学生再刷新之后，又跳回了测试的界面,学生测试单词卡在了录音的那个界面，跳不到下一个单词,学生没有用谷歌浏览器,,kb_candidate,"['作业/布置/批改/反馈', '音频/录音/听力', '浏览器/网络/缓存']"
teacher,老师,使用问题,不好意思，我们两位老师都尝试了下，上传不了，请问是否有上传词表的教学视频，能够供我们参考下，看看问题在哪？,单词书上传显示没有单词,词表表头文字不对,"TOK托福听力词汇.xlsx,735e3cb5ec67a965e4bbd2275f6173d.png",kb_candidate,['题库/录题/单词书/模考']
academic,教务,使用问题,上传学员模板导入说学员名字为空，但是下载模板上是填了名字,导入学生名单显示姓名不能为空,模板表头不能修改,,kb_candidate,[]
academic,教务,使用问题,为啥这个学员信息用教务的身份可以看到，但是用老师的身份就搜不到了？,老师端搜索学员没有信息,教务身份可以查看所有学生，老师需要和学生在同一个班级内才能看到。,,kb_candidate,"['班级/排课/课时/考勤', '权限/角色/公池']"
teacher,老师,操作疑问,如何布置ket题目,如何布置ket题目,创建ket课程，关联题库，创建班级,,kb_candidate,"['作业/布置/批改/反馈', '班级/排课/课时/考勤', '题库/录题/单词书/模考']"
teacher,老师,操作疑问,我想问一下，怎么给某个学生开放题库啊？选中后变成一个作业了,如何开放题库,教务给老师一个开放题库的权限,,kb_candidate,"['作业/布置/批改/反馈', '权限/角色/公池', '题库/录题/单词书/模考']"
student,学生,使用问题,一个学生实际语法部分完成时间是35分钟 但是显示的还是45分钟完成，她说她不到答题时间结束提交不了,学生反馈提交按钮点击没有反应,学生使用的edge，建议使用谷歌浏览器,,kb_candidate,"['作业/布置/批改/反馈', '浏览器/网络/缓存']"
student,学生,使用问题,您好老师，为什么到了语言形式与含义这里下一题就出不来了,学生测试点不了下一题,学生用的微信浏览器,54e77481293b1398802efb12f16e9cf.jpg,kb_candidate,['浏览器/网络/缓存']
academic,教务,操作疑问,请问报了小班的学生上课10小时的课，现在要分开各自上1对1的课要怎么处理？,学生先上班课，再上1对1的课，如何操作,可以先创建好一对一的班级，然后操作学生转班,,kb_candidate,['班级/排课/课时/考勤']
academic,教务,操作疑问,助教老师给学生加的课时可以查看吗,学生没有录入系统，给学生添加的课时如何统计查看,可以在课表中查看排课记录,,kb_candidate,['班级/排课/课时/考勤']
teacher,老师,使用问题,学生看不到作业大纲的作业,老师可以看到作业大纲的作业是无法看到,学生是非VIP账号,,kb_candidate,"['账号登录/密码/手机号', '作业/布置/批改/反馈', '权限/角色/公池']"
sales,销售,操作疑问,老师，有几个问题哈： 1、在已经签约的情况下，只能是转成正式/非正式学员，才能够续课？ 2、在转为学员的情况下，再续课，只能是一次续一个课程吗？,已经签约的情况下，只能是转成正式学员，才能够续课。续课，只能是一次续一个课程吗？,只有正式学员才可以续课 正式学员续课一次只能续一个课程,,kb_candidate,[]
teacher,老师,操作疑问,咱们这个怎么处理学生停课呢？,学生上一半的课不上了，如何处理,可以给该学生结课,,kb_candidate,[]
